Centre address	No_Street	StreetName	Suburb	ID
HLULA ROAD, SECTION 33, HARARE, KHAYALITSHA		HLULA ROAD	SECTION 33	891
THANDABANTU STREET, DU NOON, MILNERTON		THANDABANTU STREET	DU NOON	899
LAVIS DRIVE, LAVISTOWN, BISHOP LAVIS		LAVISTOWN	LAVISTOWN	907
OLD KOSIE DE WET BUILDING, BUITEKANT STREET, VILLIERSDORP		BUITEKANT STREET	VILLIERSDORP	908
FRAHNS LAAN, KALBASKRAAL, ABBOTSDALE		FRAHNS LAAN	KALBASKRAAL	933
C/O ISABEL AND BELHAR MAINS, KALKFONTEIN, KUILSRIVIER		KALKFONTEIN	KALKFONTEIN	934
HOTTOMSKLOOF PRIM, KAMANASSIE, OUDTSHOORN		KAMANASSIE	KAMANASSIE	935
MAKUPULA HIGH, MAKUPULA STREET, KAYAMANDI		MAKUPULA STREET	KAYAMANDI	936
KEEROM, PORTERVILLE, PORTERVILLE		PORTERVILLE	PORTERVILLE	940
KENSINGTON LIBRARY, C/O FATRETON AND 11TH AVENUE, KENSINGTON		C/O FACTRETON AND 11TH AVENUE	KENSINGTON	941
SINETHEMBA YOUTH CENTRE, KHAYELETHU, KNYSNA		KHAYELETHU	KHAYELETHU	948
KLAPMUTS PRIMARY, MERCHANT STREET, KLAPMUTS		MERCHANT STREET	KLAPMUTS	951
MANDELA STRAAT, KLAWER, VAN RHYNSDORP		MANDELA STRAAT	KLAWER	952
ADRIAANSRYLAAN, ASLA PARK, MOSSEL BAY		ADRIAANSRYLAAN	ASLA PARK	954
RECREATION STREET, BREDASDORP, BREDASDORP		RECREATION STREET	BREDASDORP	955
SUNRIDGE STREET, HORNLEE, KNYSNA		SUNRIDGE STREET	HORNLEE	959
SKOOLSTRAAT, KOEKENAAP, VREDENDAL		SKOOLSTRAAT	KOEKENAAP	961
BANHOEK ROAD, STELLENBOSCH, STELLENBOSCH		BANHOEK ROAD	STELLENBOSCH	962
KORINGBERG PRIMER, KORINGBERG, MOORREESBURG		KORINGBERG	KORINGBERG	964
SKURWEBERG SECONDARY SCHOOL, KOUE BOKKEVELD, OP-DIE-BERG		KOUE BOKKEVELD	KOUE BOKKEVELD	965
Koopmans Avenue, Scottsdene, KRAAIFONTEIN		Koopmans Avenue	Scottsdene	967
KRANSHOEK PS, MONUMENT STREET, KRANSHOEK		MONUMENT STREET	KRANSHOEK	971
AANDBLOMSTRAAT, P/A STEYNVILLE SEK, PIKETBERG		AANDBLOMSTRAAT	PIKETBERG	973
LUDWE NGAMLANA MQA MKI STREET, KUYASA, KHAYELITSHA		LUDWE NGAMLANA MQA MKI STREET	KUYASA	974
PHAKAMISANI PRIMARY, SISHUBA STREET, KWANOKUTHULA		SISHUBA STREET	KWANOKUTHULA	975
PW DE BRUIN PRIMARY, PIETERSEN STREET, LAMBERTSBAY		PIETERSEN STREET	LAMBERTSBAY	979
LATEGANSVLEI PRIMARY, LATEGANSVLEI, OUDTSHOORN		LATEGANSVLEI	LATEGANSVLEI	980
Le Jardine, PORTERVILLE		PORTERVILLE	PORTERVILLE	986
C/O LEIDEN AND JAN DIESEL AVEN,LEIDEN, DELFT		LEIDEN	LEIDEN	990
LENTEGEUR PUBLIC LIBRARY, MERRYDALE ROAD, MITCHELLS PLAIN		MERRYDALE ROAD	MITCHELLS PLAIN	991
DE LA BAT ROAD, WORCESTER, WORCESTER		DE LA BAT ROAD	WORCESTER	993
LUCKHOFF SEN. SEC, BLOEKOM AVENUE, IDAS VALLEY, STELLENBOSCH		BLOEKOM AVENUE	IDAS VALLEY	1000
SUIKERHOEK STRAAT, LUTZVILLE, VREDENDAL		SUIKERHOEK STRAAT	LUTZVILLE	1002
MEERLUST, LYNEDOCH		LYNEDOCH	LYNEDOCH	1003
THE HAGUE RECREATION CENTRE, MAIN ROAD, DELFT		MAIN ROAD	DELFT	1004
ROZENBURG STREET, MALMESBURY, MALMESBURY		ROZENBURG STREET	MALMESBURY	1006
DARLINGWEG, SCHOONSPRUIT, MALMESBURY		SCHOONSPRUIT	SCHOONSPRUIT	1007
C/O MARYLAND CENTRE, SUMMIT ROAD, HANOVER PARK		SUMMIT ROAD	HANOVER PARK	1014
MANDELA STREET, MASAKHANE, GANSBAAI		MANDELA STREET	MASAKHANE	1015
UMNQOPHISO PRIMARY, NONKQUBELA STREET, LWANDLE		NONKQUBELA STREET	LWANDLE	1016
RELIEF STREET, MURRAYSBURG		RELIEF STREET	MURRAYSBURG	1017
MASIYILE HIGH, C/O BONGA AND PAMA ROAD, KHAYELITHSA		C/O BONGA AND PAMA ROAD	KHAYELITHSA	1018
IMBONISELO PRIM, LINGELIHLE STREET, MBEKWENI, PAARL		LINGELIHLE STREET	MBEKWENI	1019
BANHOEK ROAD, STELLENBOSCH, STELLENBOSCH		BANHOEK ROAD	STELLENBOSCH	1021
LANGABUYA PRIMARY, MAFILA STREET, MBEKWENI		MAFILA STREET	MBEKWENI	1023
THUSONG BUILDING, PADDY STREET, ROBERTSON		PADDY STREET	ROBERTSON	1027
METHODISTE KERK, BRANDERSTRAAT, RUSTDENE, BEAUFORT-WES		BRANDERSTRAAT	RUSTDENE	1034
MAARMAN STRAAT, KWAMANDLENKOSI, BEAUFORT WEST		MAARMAN STRAAT	KWAMANDLENKOSI	1035
C/O TOKWANA AND NQUBELANI, EXTENSION 6, MFULENI		EXTENSION 6	EXTENSION 6	1036
MIDDELPLAAS, PORTERVILLE, PORTERVILLE		PORTERVILLE	PORTERVILLE	1039
IMBASA PRIMARY, C/O NEW EISLEBEN ROAD, OLD CROSSROADS		C/O NEW EISLEBEN ROAD	OLD CROSSROADS	1049
MKHANYISELI PRIM SCHOOL, TERMINUS ROAD, K.T.C, NYANGA		TERMINUS ROAD	K.T.C	1050
HOOF STRAAT, MOORREESBURG, MOORREESBURG		HOOF STRAAT	MOORREESBURG	1058
THE FARM, SAMANTHA ROADS, MITCHELLS PLAIN		SAMANTHA ROADS	MITCHELLS PLAIN	1059
MAYIXHALE STREET, KANONQABA, MOSSELBAAI		MAYIXHALE STREET	KANONQABA	1060
SAGOLODA STREET, BROWNS FARM, PHILLIP		SAGOLODA STREET	BROWNS FARM	1063
RECREATION STREET, BREDASDORP, BREDASDORP		RECREATION STREET	BREDASDORP	1076
P/A PAULUS JOUBERT, BEUKES STREET, PAARL		BEUKES STREET	PAARL	1085
