Centre address	No_Street	StreetName	Suburb	ID
				910
"B4 Century Square 
Heron Crescnt 
Century C 
7441"		Heron Crescent	Century City	4
"19A Oewerpark, Rokewood Avenue
Stellenbosc 
7613"		Rokewood Avenue	Stellenbosch	60
				85
Cape Town, Paarl, Stellenbosch, Worcester			Paarl	123
99 Stadium on Main Road Claremont, 2nd Floor		Main Road	Claremont	160
"53 Main Rd,
Vredenbug, 
7380"	53	Main Rd	Vredenburg	161
Roodebloem Office Park 20 Bella Road Rosenpark Bellville 7530	20	Bella Road	Rosenpark	184
"Triangle House, 13th Floor
22 Riebeek Street
Cape To 8001"	22	"
Riebeek Street"	Cape Town	186
 First Floor, SAB&T House, Cnr Birmingham & Canterbury Road, N1 City, Goodwood, 7460	Cnr	Birmingham & Canterbury Road	N1 City	189
13 Blankenberg Street, Belle Cape Building, Bellville,7530	13	Blankenberg Street	Belle Cape Building	203
22 Church Street, Durbanville, 7550	22	Church Street	Durbanville	209
"Old Oak Office Park
C/O Old Oak & Durban Roa d
Bellville, 7530"	Cnr	Old Oak & Durban Road	Bellville	291
"13 Octofin House
Fairways Office Park
Somerset West, 7130"			Somerset West	305
25 Saint James Street, Audas Estate, Somerset West, 7130	25	Saint James Street	Audas Estate	361
Office 102, Libri Business Centre, Libri Lane, Somerset West, 7130		Libri Lane	Somerset West	482
1 Niblick Way, Firgrove Rural, Somerset West, 7130	1	Niblick Way	Firgrove Rural	497
3 Kariga Street, Stikland Industrial, Bellville, 7530	3	Kariga Street	Stikland Industrial	511
Office D8, Block D				514
FARM SONWEELDEROUTE 45 NORTHERN PAARL 7620	45		NORTHERN PAARL	539
1st Floor Market Mall, 84 Market Street, George, Western Cape, South Africa	84	Market Street	George	544
Ground Floor Twin Oaks Centre, 142 Main Road, Somerset West	142	Main Road	Somerset West	545
1st Floor Regkam Building Kort Street (Cnr Voortrekker Road), Bellville, Western Cape, South Africa	Cnr	Kort Street & Voortrekker Road	Bellville	546
"5th Floor, The Strand
37 Strand Street
Cape Town
Western Cape, 8000"	37	Strand Street	Cape Town	562
5 Mountain View Crescent, Durbell, Durbanville, 7550	5	Mountain View Crescent	Durbell	567
47 - ON -Strans, Strand Street Cape Town	47	Strand Street	Strand Street Cape Town	588
				617
"64 Bree Street
Bree Castle House Unit 20 4
2nd Floor
Cape Town 8000"	64	Bree Street	Cape Town	651
Foreshore, Cape Town		Foreshore	Cape Town	657
12 Liesbeek Parkway Mowbray	12	Liesbeek Parkway	Mowbray	670
"64 St George's Mall
Cape Town
8001"	64	St George's Mall	Cape Town	675
45 Sir Lowry Road, Woodstock, 7925	45	Sir Lowry Road	Woodstock	687
"	10 VAN DER LINGEN STREET, PAARL, WESTERN CAPE, ZA"	10	VAN DER LINGEN STREET	PAARL	696
2 Canal Side, Heron Crescent, Century City, Cape Town		Heron Crescent	Century City	730
CARPE DIEM BUILDING, BLOCK A, TECHNO PARK, QUANTUM STREET, STELLENBOSCH, WESTERN CAPE, ZA,		QUANTUM STREET	STELLENBOSCH	763
5 Wylant St, Door De Kraal, Bellville, Western Cape, South Africa	5	Wylant St	Door De Kraal	844
80 Panorama Road, Panorama, Parow, 7500	80	Panorama Road	Panorama	866
"Varsity Place, Belmont Office Park,
Belmont Road, Rondebosch 7700"		Belmont Road	Rondebosch	878
"67 Rosmead Av, Kenilworth
Claremont (Western Cape)"		Rosmead Avenue	Kenilworth	901
				911
"Table View Campus
Bayside Office Park,
41-43 Erica Road,
Table V 
7441"	41	Erica Road	Table View	982
"De Waterkant
10 Helderberg Street
Stellenbosch"	10	Helderberg Street	Stellenbosch	999
"DIE TREK STREET 
Piketberg, Western Cape"		DIE TREK STREET	Piketberg	1024
1 Long Street, Cape Town City Centre, Cape Town, 8001	1	Long Street	Cape Town	1037
"3rd & 4th Floor, The Gateway,
Century Way, Century Cit  7441"		"
Century Way"	Century City	1057
14 Stockenstrom Street Worcester, 6850, South Africa	14	Stockenstrom Street	Worcester	1088
19 Hawk Cres Table View, Western Cape, 7441 South Africa	19	Hawk Cres 	Table View	49
60 Ring Rd Industria		Ring Road 	Parow Industria	84
	3	Main Rd 	Newlands	190
	11	Fabriek St	Malmesbury	201
GOVERNMENT JETTY FISHING HARBOUR		Searle Street   	Woodstock	210
Lanzerac Road Phillipi, Industria		Cnr of Lanzerac & Stock Roads  	Phillipi Industria 2	214
12 Dahlia Street White City	12	Dahlia Street 	White City	227
7 Warrington Street Claremont	7	Warrington Street	 Claremont	289
32 Benbow Avenue Epping Industria	32	Benbow Avenue 	Epping Industria	297
2 Thorpe Close Corner Thorpe Close/Zwaanswyk Road, entrance in Zwaanswyk Road	2	Corner Thorpe Close/Zwaanswyk Road	Tokai	360
13 Wittebomen Road Constantia	13	Wittebomen Road 	Constantia	452
BREE STREET 169A CAPE TOWN		BREE STREET 	Cape Town	484
APPLETISER ROAD GRABOUW		APPLETISER ROAD	 GRABOUW	489
	5	Morningside Rd  	Ndabeni	559
8 WATTLE ROAD TYGERBERG	8	WATTLE ROAD 	TYGERBERG	561
	9	PARIN ROAD   	INDUSTRIA	609
5 Kehrweider St Saxon Sea	5	Kehrweider St 	Saxon Sea	610
16 Dwyka Street Stikland	16	Dwyka Street 	Stikland	658
2 Cochrane Avenue Eppindust	2	Cochrane Avenue 	Eppindust	667
Libertas Building Adam Tas Street		Adam Tas Street	Stellenbosch	712
17 Fisher Avenue Eppinndust	17	Fisher Avenue 	Eppinndust	721
17 Stuiwer Street Vierlanden, Durbanville  7550  	17	Stuiwer Street 	Vierlanden	790
1 CNR VOORTREKKER & 11TH AV MAITLAND	1	CNR VOORTREKKER & 11TH AV 	 Maitland	800
786 Main Road Hoedjiesbaai Centre	786	Main Road Hoedjiesbaai Centre	Saldanha	849
West Caost Business Centre Tornyn Strteet		Tornyn Street	Saldanha	902
				912
34 Lady Grey Street Paarl	34	Lady Grey Street 	Paarl	963
POSBUS 528 WESTERN CAPE		Main St	Paarl	976
SCHOONGESICHT LAAN LADISMITH		SCHOONGESICHT LAAN 	LADISMITH 	978
RIVER STREET LAAIPLEK		RIVER STREET	 LAAIPLEK	1011
	19	 Section Street	Paarden Eiland	39
	5	 Lynx Road	 Paarden Island	65
	22	Oosterland Street Dal Josafat	PAARL	69
	10	Freedom Drive Marconi Beam	Montague Gardens	73
		Freedom Way	Marconi Beam Milnerton	75
	15	Jan Van Riebeeck Drive	Paarl	76
	22	Osterland Street Dal Josafat	PAARL	78
	8	Jan Van Riebeeck Road	Paarl	80
	36	 Old Mill Road	N'dabeni	108
		Mail Street Western Province Park	EPPING	113
	10	Station Road	Kuilsrivier	116
	43	 Mansell Avenue	Killarney Gardens	129
	36	Thor Circle Viking Place	THORNTON	176
	14	Cnr Caxton & Duminy Street	Parow	188
		 Baron Street	Cape Town	206
		Moorsom Avenue	Epping Industria 11	216
	5	 Koets Street Tygerberg Bus Park	PAROW	220
		Private Bag x1	Goodwood	252
	11	  Techno Crescent Western Province Park	EPPINDUST	307
		Old Marine Drive	Cape Town	323
	16	 Strawberry Mall	Strandfontein	325
	58	 Kinghall Avenue	Epping 2	342
		Thor Circle 	Thornton	357
		 Michelle Close	GOODWOOD	570
	118	 Bofors Circle	Epping	605
	382	Voortrekker Road	Goodwood	636
		Eliot Avenue	Epping Industria	656
		Cnr Caxton & Duminy Street	Parow	660
		Cnr Caxton & Duminy Street	PAROW	663
		Van der Stel Street	Daljosafat PAARL	714
	24	 Kinghall Avenue	Eppindust	795
	7	 Ravenscraig Road	Woodstock	875
		Cnr Drukkery & Malherbe Street	Goodwood	879
	122	 St George's Mall	CAPE TOWN	881
				913
	32	 Osborne Street	Woodstock	984
	2	Bofors Circle	Epping Industria 2	995
		Cnr 11th Avenue & Numan Street	Kensington	1041
	14	 Fabriek Street	Kuilsriver	1053
		Cnr Drukkery And Malherbe Street	Goodwood	1054
	44	 Third Street 	Walvis Bay Namibia	1055
		Dacres Avenue	Epping	1068
		Cnr Hewitt Avenue & Bofors Circle	Epping	1071
	4	 Bayete Street	NDABENI	1074
		Drukkerystraat	Goodwood	1078
Aan-de-Wagen Road Stellenbosch 7600		Aan-de-Wagen Road Stellenbosch 7600	Stellenbosch	103
22 AKASIA STRAAT GEORGE 6529	22	AKASIA STRAAT 	GEORGE 	336
Main Road Muizenburg 7950		Main Road	 Muizenburg 	637
18 ALLEN DRIVE LOEVENSTEIN BELLVILLE 7530	18	ALLEN DRIVE  	LOEVENSTEIN	816
Unit 11A Lonsdale Way Pinelands 7405		Lonsdale Way 	Pinelands	860
				863
				914
9 220 OTTERY ROAD CAPE TOWN 7800	220	OTTERY ROAD 	Wynberg	1064
20 BELLA ROSA STREET CAPE TOWN 7530	20	BELLA ROSA STREET 	Rosenpark	1077
				37
				198
Unit 10 Petrusa Park, Petrusa Street, Bellville, 7530		Petrusa Street	Bellville	469
Unit 1, 4 Nina Street, Brackenfell, 7560	4	Nina Street	Brackenfell	473
12 Liesbeek Parkway Mowbray	12	Liesbeek Parkway	Mowbray	677
"	20 MARGARET STREET, GAYLEE, BLACKHEATH, 7580"	20	MARGARET STREET	GAYLEE	697
				915
"2nd Floor Sunclare Building 
Cnr Protea & Dreyer Rds
Claremont
Cape Town
7708"		Protea Rd & Dreyer Rd	Claremont	1043
2nd floor Stadium on Main 99 Main Rd Claremont	99	Main Rd 	Claremont	159
SAADA House, 27 Rabe  Street, Polokwane 0699      015 295 9670/ 015 291 4998	27	Rabe	Polokwane	249
100 Northern Parkway  2nd Floor - Block D  Crownwood Officepark  Ormonde - Johannesburg		100 Northern Parkway  2nd Floor - Block D  Crownwood Officepark  Ormonde - Johannesburg		329
31 The Sanctuary, Kirstenhof, 7945	31	The Sanctuary	 Kirstenhof	383
2 Yellowwood Street, Alveda Park Extension 2, Johannesburg, 2091		2 Yellowwood Street	 Alveda Park Extension 2	501
Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand		Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand		701
Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand		Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand		702
				916
				942
WC EC ETC		WC EC ETC		943
				944
				946
WC EC ETC		WC EC ETC		947
First floor Stadium on Main 99 Main Rd Claremont	99	 Main Rd	 Claremont	1009
195 Umhlanga Rocks Drive Durban North		195 Umhlanga Rocks Drive Durban North		1025
275 Victoria Road, Salt River, Cape Town	275	Victoria Road	 Salt River	1048
261 Main Road, STRAND, 7140	261	Main Road	 STRAND	1
Business Centre - Saldanha Site, Yzervarkruggens, SALDANHA, 7395		 Saldanha Site	Yzervarkruggens	2
Electron Ave, Isando, Gauteng, 1600		Electron Ave	Isando	3
282 Durban Road, Oakdale, TYGERVALLEY, 7530	282	 Durban Road	Oakdale	12
Unit 27 Gunners Park, Gunners Circle, EPPING 1, 7960		Gunngers Circle 	Epping 1	31
32 Westhoven Street, PAARL, 7646	32	Westhoven Street	 PAARL	42
Arbeid Street, BEAUFORT WEST, 6970		Arbeid Street	BEAUFORT WEST	52
The Waverley - Unit 23A, Koetzee Road, Mowbray, CAPE TOWN, 7700		 Koetzee Road	Mowbray 	54
Arbeid Street, BEAUFORT WEST, 6970		Arbeid Street	BEAUFORT WEST	62
Isotope Street, Stikland, Bellville		Isotope Street	Stikland	71
3 Marconi Road, Unit 1 - Montigo Park, MONTAGUE GARDENS, 7441	3	Marconi Road	Montague Gardens	81
Cnr Eisleben & Sheffield Streets, Philippi East, CAPE TOWN, 7785		Cnr Eisleben & Sheffield Streets	Philippi East	88
Atomic Street, Triangle Farms, BELLVILLE, 7530		Atomic Street	Bellville	89
	7	Gertrude Street	Goodwood 	106
Renier Street, WORCESTER, 6850		Renier Street	WORCESTER	115
22 Field Street, Industria, WORCESTER, 6850	22	Field Street	Industria	120
119 Sheard Street, Worcester	119	Sheard Street	WORCESTER	127
New Cross Street, CALEDON, 7320		New Cross Street	CALEDON	135
15 Sydow Street, MAITLAND, 7405	15	Sydow Street	Maitland	144
Unit 4 - 5, Evans Avenue, EPPING I		 Evans Avenue	Epping 1	149
9 Benbow Ave, EPPING INDUSTRIA, 7460	9	Benbow Ave	Epping Industria	151
	48	Canterbury Street	Cape Town 	174
35 section street Paarden Eiland,, Cape Town	35	Section Street	Paarden Eiland	180
112 Voortrekker Street, CERES	112	 Voortrekker Street	 CERES	196
423A Main Road, OBSERVATORY, 7925	423A	Main Road	Observatory 	204
423A Main Road, OBSERVATORY, 7925	423A	Main Road	Observatory	212
		Buitenkant Street, 	Cape Town City Centre	228
	334	Albert Road	Salt River	238
		Cnr of Cedar and Poplar Rds	 Thornton	247
		Duncan Road  	Cape Town Harbour 	259
8 Stoffel Smit Street, STELLENBOSCH, 7599	8	Stoffel Smit Street	 STELLENBOSCH	279
	10	Wallflower St	Paarden Eiland	282
		Thermo Street	Stikland	288
Straat kerk, Tulbagh		Straat kerk	TULBAGH	301
			VREDENBERG 	309
129 Sacks Circle, Bellville South, Cape Town, 7535	129	 Sacks Circle	Bellville South	316
1 Bree Street, CAPE TOWN	1	Bree Street	Cape Town 	317
Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000		Ocean Rd, Sturrock Dock	Table Bay	326
Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000		Ocean Rd, Sturrock Dock	Table Bay	334
Addy Street, Wellington, 7655		Addy Street	WELLINGTON	341
Elliot Avenue, Epping, CAPE TOWN, 8001		Elliot Avenue	Epping	350
7 Monza Rd,, Killarney Gardens,, Milnerton,, 7441	7	Monza Rd	Killarney Gardens	368
		Sacks Circle	Bellville	382
15 Voortrekker Street, SPRINGBOK, 8240	15	Voortrekker Street	SPRINGBOK	401
18 Arum St, Hermanus, 7200	18	Arum St	HERMANUS	402
11D Danie Uys Street, Stikland, CAPE TOWN, 7530	11D	Danie Uys Street	Stikland	403
21 Transvaal Street, PAARDEN EILAND, 7405	21	 Transvaal Street	Paarden Eiland	404
				405
130 Jan Van Riebeeck Road, Huguenot, PAARL, 7646	130	Jan Van Riebeeck Road	Huguenot	406
Mew Way, Khayelitsha		Mew Way	Khayelitsha	407
	83	Strand Street	Stikland	408
66 Old Mill Road, N'Dabeni, PINELANDS, 7405	66	 Old Mill Road	Ndabeni	409
378 Voortrekker Road, Goodwood, CAPE TOWN, 8001	378	Voortrekker Road	Goodwood	410
76 White Road, Retreat, Cape Town, 7945	76	 White Road	Retreat	411
103 Bofors Circle, Epping Industria	103	Bofors Circle	Epping Industria	412
187 Langenhoven Road, OUDTSHOORN, 6620	187	Langenhoven Road	OUDTSHOORN	413
15 Mynhardt Street, Gants Centre, STRAND, 7140	15	Mynhardt Street	STRAND	414
460 Chris Hani Road, Briardene, DURBAN, 4000	460	 Chris Hani Road	Briardene	415
Blackheath Small Business Centre, Station Road, Blackheath, CAPE TOWN, 7581		 Station Road	Blackheath 	416
Cnr Montague Drive & Freedom Way, Montague Gardens, CAPE TOWN, 7444		Cnr Montague Drive & Freedom Way	Montague Gardens	417
Cnr Koeberg Road & Bosmansdam Road, MILNERTON		Cnr Koeberg Road & Bosmansdam Road	Milnerton	418
Giel Basson Road, N1 City, GOODWOOD		Giel Basson Road	Goodwood 	419
38 Textile Street, PAARL	38	Textile Street	PAARL	420
35 Lady Grey Street, Paarl, 7646	35	 Lady Grey Street	PAARL	421
				422
14 Boulevard Park, BELLVILLE, 7530	14	Boulevard Park	Bellville	423
Observatory Road, OBSERVATORY, 7945		Observatory Road	Observatory 	424
Cnr Courtenay & Cradock Streets, Tommy Joubert Building (South), GEORGE, 6530		Cnr Courtenay & Cradock Streets	GEORGE	425
4 Koper Street, SPRINGBOK,8420	4	Koper Street	SPRINGBOK	426
				427
22 Dacres Avenue, EPPING II	22	Dacres Avenue	Epping II	428
27 Tredoux Street, Beaconvale, PAROW	27	Tredoux Street	Beaconvale	429
11 Lily Road, Retreat Industrial, 7945	11	Lily Road	Retreat Industrial	430
Steelbank Complex, 6 Reuban Kaye Road, Parow Industria, Cape Town, 7500	6	 Reuban Kaye Road	Parow Industria	431
9 Appletiser Road , Elgin , 7180	9	Appletiser Road 	Elgin 	432
11 Celie Road, RETREAT INDUSTRIA, 7945	11	Celie Road	Retreat Industria	433
1A Station Road, Montague Gardens, CAPE TOWN, 7741	1A	Station Road	Montague Gardens	434
11 Wellington Road, Parktown, Johannesburg, 2193	11	Wellington Road	Parktown	435
1A Station Road, Montague Gardens, CAPE TOWN, 7741	1A	Station Road	Montague Gardens	436
128 Rocklands Road, ROOIELS	128	Rocklands Road	ROOIELS	437
Oosterland Street, Daljosafat, PAARL, 7646		Oosterland Street	Daljosafat	438
				439
11 JACK STREET, GOODWOOD, 7460	11	Jack Street	Goodwood	440
Hoerskool Road, VREDENDAL NORTH, 8160		Hoerskool Road	Vredendal North	441
1 Academy Street, VREDENBURG, 7380	1	Academy Street	VREDENBURG	442
			ATLANTIS	443
8A Lily Road, RETREAT, 7945	8A	Lily Road	Retreat	444
23 Wellington Road, Durbanville, CAPE TOWN	23	Wellington Road	Durbanville	445
2 Ferguson Street, Triangle Farm, Stikland, BELLVILLE	2	Ferguson Street	Stikland	446
20 Krone Street, Worcester Industria, WORCESTER	20	 Krone Street	Worcester Industria	447
9 Tennant Street, STELLENBOSCH	9	Tennant Street	STELLENBOSCH	448
130 Victoria Road, Woodstock, CAPE TOWN, 7925	130	Victoria Road	Woodstock	449
Maitland 			Maitland	450
John Vani Niekerk Street, Atlantis		John Vani Niekerk Street	ATLANTIS	451
12 Kanarie Road, LANSDOWNE, 7780	12	Kanarie Road	Lansdowne	455
9 Boland Street, Daljosaphat, PAARL, 7646	9	Boland Street	Daljosaphat	462
8 Melborn Road, Woodstock, CAPE TOWN, 8000	8	Melborn Road	Woodstock	471
Cnr Voortrekker Road & 3rd Avenue, Maitland, CAPE TOWN		Cnr Voortrekker Road & 3rd Avenue	Maitland	479
24 Kariga Street, STIKLAND	24	Kariga Street	Stikland	485
59 College Road, Rylands, Athlone	59	College Road	Rylands	488
6 Milan Street, Airport Industria, CAPE TOWN	6	Milan Street	Airport Industria	503
Modderdam Road, BELLVILLE SOUTH		Modderdam Road	Bellville South	510
786 Main Road Hoedjiesbaai Centre, Saldanha, , Western Cape 7395	786	Main Road 	 SALDANHA	517
55 AUCKLAND ST, MAITLAND.	55	55 Auckland Street	Maitland	518
Unit 8 - 9B, Barlinka Road, Saxenberg Business Park		Barlinka Road	Blackheath 	526
Duncan Road (Next to Royal Yacht Club), Table Bay Harbour, CAPE TOWN, 7420		Duncan Road (Next to Royal Yacht Club)	Table Bay Harbour	550
	18	Rose Ave	Kirstenhof	558
217 Main Road, Tokai, CAPE TOWN, 7945	217	Main Road	Tokai	574
Denel Site, 100 Swartklip Road, MITCHELLS PLAIN, 7785	100	 Swartklip Road	Mitchells Plain 	590
27C Estmil Road, DIEP RIVER	27C	Estmil Road	Diep River	597
2 Gunners Circle, Epping, CAPE TOWN, 7460	2	Gunners Circle	Epping	606
Erf 585 - Old Faure Road, Faure, SOMERSET WEST, 7131	Erf 585	Old Faure Road	Faure	614
		Jan Smuts Drive	Pinelands	618
				622
9 - 4th Street, Montague Gardens, CAPE TOWN	9	4th Street	Montague Gardens	633
Jef Masemola Road, Greenpoint , Khayelitsha, 7784 		Jef Masemola Road	Khayelitsha	640
Jef Masemola Road, Greenpoint , Khayelitsha, 7784 		Jef Masemola Road	Khayelitsha	646
80 Voortrekker Road, BELLVILLE, 7530	80	Voortrekker Road	Bellville	653
80 Voortrekker Road, BELLVILLE, 7530	80	Voortrekker Road	Bellville	662
	8	Darling Street 	Cape Town	678
Verolme Kamp Street, SALDANHA, 7395		Verolme Kamp Street	SALDANHA	681
		River Park	Mowbray 	682
		Bella Rosa Street 	Rosenpark 	693
1st Floor, Block D, Belvedere Office Park,, Rosen Park, Cape Town		Bella Rosa Street 	Rosenpark 	700
99C Bofors Circle, EPPING, 7460	99C	99C Bofors Circle	Epping	707
6 MCGREGOR ST, BEACONVALE, PAROW,7500	6	McGregor Street	Beaconvale	731
Address: 73 Steward Street, Goodwood	73	 Steward Street	Goodwood	740
				750
Montreal Drive, AIRPORT INDUSTRIA, 7525		Montreal Drive	Airport Industria	756
Cnr Mill & Langewegger Street, STRAND, 7140		Cnr Mill & Langewegger Street	Strand	762
Westlake Drive, Westlake, TOKAI, 7966		Westlake Drive	Westlake	774
		Voortrekker Road 	Maitland	777
3rd Floor, Waterford House, Waterford Road, 7801		Waterford Road 		791
Clay Street, GEORGE, 6529		Clay Street	 GEORGE	799
100 Bird Street, STELLENBOSCH, 7600	100	Bird Street	 STELLENBOSCH	806
Saldanha Steel Site, SALDANHA		Saldanha Steel Site	 SALDANHA	819
		Floryn Street	Marais Industrial	826
Berty Ave, EPPING 2, 7475		Berty Ave	Epping 2	834
11A Scheckter Road, KILLARNEY GARDENS, 8000	11A	Scheckter Road	Killarney Gardens	838
Camp Street Extension, SALDANHA, 7395		Camp Street Extension	 SALDANHA	839
75 Silverton Road, Durban, 4001	75	Silverton Road	 DURBAN	841
4 Lanta Street, SOMERSET WEST, 7130	4	Lanta Street	 SOMERSET WEST	850
50 Merestyn Road, Saldanha, 7395	50	Merestyn Road	Saldanha	859
66B Lansdowne Road, Crossroads, PHILLIPPI, 7785	66B	Lansdowne Road	Crossroads	890
Cnr Blaauwberg & Koeberg Roads, TABLE VIEW, 7441		Cnr Blaauwberg & Koeberg Roads	Table View	903
Unit 7 Andre Visser Prk, 1 Eagle St,,  Okavango Park Brackenfell 	1	Eagle Street	Brackenfell 	909
				917
41 Techno Avenue, Techno Park, Stellenbosch, 7600	41	Techno Avenue	STELLENBOSCH	945
240 Main Road, PAARL, 7646		240 Main Road	 PAARL	950
7 Main Street, KNYSNA, 6570		7 Main Street	 KNYSNA	958
P.O. Box 878, Howard Place, Cape Town, 7450	11	Robert Sobukwe Road 	Bellville	968
P O Box 1034, KRAAIFONTEIN, 7570		Industrial Road 	Kraaifontein 	977
P O Box 145, Howard Place, PINELANDS	2	Diesel Road 	Ndabeni	983
7 A Delson Circle, Somerset Business Park, Somerset West, 7601	7A	Delson Circle	SOMERSET WEST 	992
Private Bag X6002, SOUTHERN PAARL, 7624		Contractor Road 	Southern Paarl	1001
74 Voortrekker Street, BELLVILLE, 7536	74	Voortrekker Street	Bellville	1008
				1028
Ystervarkensrug, Saldanha			Ystervarkensrug	1033
Paarden Island			Paarden Eiland	1042
				1056
43 King Edward Street, PAROW, 7500	43	King Edward Street	Parow	1065
153 Donkin Street, BEAUFORT WEST, 6970	153	Donkin Street	 BEAUFORT WEST	1072
Steenberg Road, Pollsmoor Prison Workshops, TOKAI, 7966		Steenberg Road	Tokai	1079
Electron Ave, Isando, Gauteng, 1600		Electron Ave	Isando	1083
30 De la Bat Road Roux Park Worcester Western Cape 6850	30	De la Bat Road Roux Park 	Worcester	5
Barry Streek House 19 Loop Street Cape Town Western Cape 8001	19	Loop Street	 Cape Town 	44
Barry Streek House 19 Loop Street Cape Town Western Cape 8001	19	Loop Street 	 Cape Town 	45
0		0		59
Montrose Place 2nd Floor, Cnr Pasita & Bella Rosa Street Rosenpark Bellville Western Cape 7550		Cnr Pasita & Bella Rosa Street 	 Rosenpark 	119
0		0		225
2 Gladstone Street Boston Bellville Western Cape 7530	2	Gladstone Street  	Boston	273
443 Main Road Observatory CapeTown Western Cape 7701	443	Main Road   	Observatory	457
0		0		470
0		0		490
5 Mountainview Crescent Durbell Durbanville Western Cape 7550	5	Mountainview Crescent   	Durbell	504
Block B Unit 10 N1 City Mews Frans Conradie Drive Goodwood Western Cape 7460		 Frans Conradie Drive 	Goodwood	516
85 Bird Street Stellenbosch CAPE TOWN Western Cape 7599	85	Bird Street 	Stellenbosch	525
85 Bird Street Stellenbosch CAPE TOWN Western Cape 7599	85	Bird Street 	Stellenbosch	528
234 Tonyn Street White City Saldanha Western Cape 7395	234	Tonyn Street  	White City	556
19 Picton Road Parow Western Cape 7499	19	Picton Road 	Parow Industria	569
15 Hillrise Crescent Durbell Durbanville Cape Town Western Cape 7550	15	Hillrise Crescent  	Durbell 	571
Room2. 413 Admin Building, Cape Peninsula University of Technology CAPE TOWN Western Cape 8000		Cape Peninsula University of Technology 	CAPE TOWN	576
0		0		578
3rd Floor, Block B, Woodstock Exchange 66-68 Albert Road Woodstock Cape Town Western Cape 8000		Albert Road 	Woodstock	579
45 Salt River Road Salt River Cape Town Western Cape 7925	45	Salt River Road 	Salt River 	586
Crawford Campus Kromboom Road Crawford undefined Western Cape 7780		Kromboom Road 	Crawford 	612
06 EB East Block, Tannery Park 23A Belmont Road Rondebosch Cape Town Western Cape 7700		Belmont Road 	Rondebosch	638
Unit 106 Block B3 Tokai Village Centre TOKAI Western Cape 7945		Tokai Village Centre 	 TOKAI 	643
16 Main Road Rosebank Western Cape 7700	16	Main Road 	Rosebank	644
11 Roslyn Street  Springbok Park  Brackenfell  Cape Town Western Cape 7561	11	Roslyn Street  	Springbok Park  	652
Hoogstraat 22b Worcester Eastern Cape 6850		Hoogstraat 22b	Worcester	654
157 1st Avenue Parow Cape Town Western Cape 7500	157	1st Avenue 	Parow Industria	666
ICG House 130 Strand Street Cape Town Western Cape 8001	130	Strand Street 	Cape Town	672
ICG House 130 Strand Street Cape Town Western Cape 8001	130	Strand Street 	Cape Town	673
49 Roodebloem Road Woodstock Cape Town Western Cape 7925	49	Roodebloem Road 	Woodstock	680
No 8 Duthie Street Malmesbury Western Cape 7300	8	Duthie Street  	Malmesbury	689
9 Bree Street  Touchstone House CAPE TOWN 8000	9	Bree Street  	Cape Town	711
0		0		720
9th Floor, Manhattan Plaza 100 Edward Road Tygervalley  Western Cape 7443	100	Edward Road 	Tygervalley	727
9th Floor, Manhattan Plaza 100 Edward Road Tygervalley  Western Cape 7443	100	Edward Road 	Tygervalley	728
9 Appeltiser Road Elgin Cape Town Western Cape 7180	9	Appeltiser Road 	Elgin	748
1st Floor Tokai - On – Main Tokai Western Cape 7945				772
Avalon Building 2, 2nd Floor 123 Hope Street Gardens Western Cape 8001	123	Hope Street 	Gardens	788
0		0		832
Shop 8b2 Nobel Park Bellville Western Cape 7530			Bellville	883
ICG House 130 Strand Street Cape Town Western Cape 8001	130	Strand Street	Cape Town	893
1st Floor, Sixty 3 on Main Main Road Paarl Western Cape 7646	63	Main Rd 	Paarl	900
				918
15 Freesia Street Vredenburg Western Cape 7380	15	Freesia Street 	 Vredenburg	938
14 September Street Wellington Cape Town Western Cape 7655	14	September Street 	Wellington	939
13-17 Heerengracht Street Pier House 7th Floor, Office 701 Cape Town Western Cape 8000		Heerengracht Street 	Cape Town	949
Block I, The Terraces  Steenberg Office Park Tokai Western Cape 7945			Tokai	956
Block I, The Terraces  Steenberg Office Park Tokai Western Cape 7945			Tokai	957
13 Sondal Road Eversdal Durbanville Cape Town Western Cape 7550	13		Eversdal 	1029
0		0		1086
334 Albert Rd, Salt River, Cape Town	334	Albert Rd	Salt River	613
	21	New Street	Durbanville	919
Trunk Road 85/1, Smelter, Saldanha, 7380		Trunk Road 	 Smelter	1066
	30	De la Bat Road	WORCESTER	1080
Bellville Campus Sackson Street BELLVILLE SOUTH 7530		Sackson Street	Bellville South 	11
Proton Street, Belhar, 7493		Proton Street	Belhar	13
Vanguard Drive, Wingfield Navy Base, Goodwood, 7460		Vanguard Drive	Wingfield Navy Base	15
1 Proton Road, Cape Town	1	Proton Road	Cape Town	24
1 Sackson Street, Belville South, 7530	1	Sackson Street	 Belville South	25
Vanguard Drive, Wingfield Navy Base, Goodwood, 7460		Vanguard Drive	Goodwood 	26
Vanguard Drive Wingfield Navy Base GOODWOOD 7460		Vanguard Drive 	Goodwood 	27
19 Section Street	19	Section Street	Paarden Eiland	40
Lynx Street	5	Lynx Street	Paarden Eiland	66
