ORIGINAL ID,NEW ID,primary_institution,website
643,643,DARLING CLC,
366,366,DASBOSCH,
673,673,DATCENTRE MOTORS (PTY) LTD T/A CMH NISSAN (Cape Town),
484,484,DAV PROFESSIONAL PLACEMENT GROUP?ÿ,
122,122,DCCT ALPF,
452,548,DCD Marine (Pty) Ltd (CAPE TOWN) (TP),
548,548,DCD-DORBYL (PTY) LTD (Cape Town),
369,369,De Compu School Malmesbury cc,
549,549,DE DOORNS ALC,
518,518,DE LA ROCHE,
272,272,DE RUST,
97,97,DE RUST FUTURA GEMEENSKAPS LEERSENTRUM,
480,480,DE TUINLANDGOED,
9,9,De Villiers Broodryk Paarl Ingelyf?ÿ,
764,764,De Vries Manangement and Training Services,
481,759,DELFT CLC,
759,759,DELFT SOUTH,
473,473,DESTA POWER MATLA - CAPE TOWN (Epping) Trasfered to L920711704,
172,172,Development Bank of Southern Africa (DBSA),
250,172,Development Bank of Southern Africa (DBSA)?ÿ,
69,69,DIAZVILLE ALC,
741,741,DIE DUINE ALC,
666,666,DIE HOEK,
210,210,Die Nooitgedacht Pers cc,
201,201,DIE ONS WERELD CLC,
58,58,DIE POORT,
28,28,DILIZUNGAZI,
382,382,DISTELL (PTY) LTD.,
268,268,Divfood Paarl,
54,54,DOORNRIVIER ALC,
630,630,DORINGBAAI,
632,632,DRAKENSTEIN KORREKTIEWE DIENSTE,
241,241,Drukkor Printing,
525,525,DRW Consultancy Enterprises CC,
769,769,DUENS BAKERY,
406,406,Durbanville College (Pty) Ltd,
80,80,DWARSRIVIER CORRECTIONALSERVICES,
40,40,Dyna Training Pty Ltd,
670,670,Dynamix Computer Training Center,
688,688,DYSSELDORP,
297,297,E Salomon & Co?ÿ,
526,526,Early Learning Foundation Montessori Teacher Training,
566,566,Early Learning Resource Unit (ELRU): Cape Educational Trust t/a,
531,531,EBENHAESER VOLWASSE ONDERRIGSENTRUM,
374,374,ECA SA Cape Town,
731,731,EDENDALE COMMUNITY LEARNING CENTRE,
657,657,EDUCATION FOR AFRICA LC,
410,410,EERSTE RIVER CLC,
767,767,Ekhozi Rural Development Services,
161,652,EKUHLALENI COMMUNITY PRESCHOOL PROJECT,
652,652,Ekuhlaleni Community Preschool Project,
811,811,ELANDSBAAI CLC,
730,730,ELANDSRIVIER,
718,718,ELCO PLASTICS (PTY) LTD (Stikland)(TP),
152,152,Elgin Community College,
206,152,ELGIN COMMUNITY LEARNING CENTRE,
585,585,ELSIES RIVER ADULT EDUCATION AND TRAINI,
420,420,Eskom  Ankerlig Power Station,
686,420,Eskom Generation - Palmiet Pump Storage Grabouw,
295,420,Eskom GX: Peaking Power Station,
556,420,Eskom Koeberg - EE - Generation & Trade Test Centre,
100,420,Eskom Koeberg - Radiation Protection,
359,420,Eskom Koeberg Nuclear Power Station PPO,
527,527,Exacct Accounting CC?ÿ,
804,804,EXACTOCRAFT (PTY) LTD (Paarden Eiland),
742,761,EXERCISE TEACHERS ACADEMY,
761,761,Exercise Teachers Academy (Pty) Ltd t/a ETA,
589,589,Express Training cc,
615,615,EZELFONTEIN,
169,169,EZIQHAMENI ALC,
626,626,FABRINOX (PTY) LTD (Huguenot),
125,242,False Bay College,
261,242,False Bay College - Westlake Campus,
524,242,False Bay College (Khayalitsha Campus) (TP),
316,242,False Bay College (Westlake Campus) (CAPE TOWN) (TP),
242,242,False Bay FET College,
592,592,FALSE BAY SECURITY BK?ÿ,
178,242,FALSEBAY COLLEGE,
64,64,FBI CONTROL AND CCTV CC?ÿ,
532,532,FC SMIT T/A HENCO CV BRAKE & CLUTCH (Maitland),
190,190,Festo (Pty) Limited (Cape Town ),
264,264,FEZEKILE ALC,
779,779,Film Mentorship & Training,
120,120,FILMAIR SA (PTY) LTD (Pinelands),
744,744,First Car Care (Pty) Ltd T/A STi Autobody Repairers (GOODWOOD) (DTTC),
736,744,First Car Care (Pty) Ltd T/A STi Autobody Repairers (GOODWOOD) (TP),
488,488,FMCG TRAINING SOLUTIONS CC,
504,504,Folding & Finishing,
618,618,FOREST HEIGHTS SECONDARY ALC,
61,61,Formeset Printers Cape (Pty) Ltd,
220,220,FRANSCHOEK CLC,
338,338,FREDDY HIRSCH GROUP PTY LTD,
622,622,FUGA FUNKSIONELE GELETTERDHEIDS AKSIE,
396,396,Furniture Technology Centre Trust,
724,396,Furniture Technology Centre Trust (ENC),
668,668,G&D Guesthouse and Training,
513,513,GABRIEL SA (PTY) LTD (Retreat),
255,255,GARDENIA COMMUNITY CENTRE,
665,665,GELUKWAARTS,
415,415,GENADENDAL ALC,
10,10,GEORGE ADULT EDUCATION CENTRE,
281,281,GEORGE ADULT LEARNING CENTRE (DCS),
55,55,GEORGE MUNICIPALITY,
71,71,George Whitefield College NPC,
781,781,Glen Lilly Outsourcing Services,
123,123,GLORIA / THEEWATERSKLOOF,
464,464,GOEIE HOOP ALC,
32,32,GOODWOOD CORRECTIONAL SERVICES,
561,561,GORDON HIGH,
327,327,GOUDA ALC,
142,142,GOUDINI BAD,
607,607,GRAAFWATER,
418,418,GRAHAMS AIR CONDITIONING (PTY) LTD (Strand),
600,600,Graphicraft (Pty) Ltd,
519,519,Grassroots Adult Education and Training Trust,
72,72,GRASSY PARK ALC,
84,84,Green Futures,
182,182,Greenford Trading 20cc,
38,38,GROENBERG ALC,
674,674,GROENHEUWEL ALC,
723,723,GROOTE SCHUUR HOSPITAL,
762,762,H P Labelling,
733,733,HABITAT INDUSTRIES CC (Killarney Gardens),
82,82,Hallmark Press (Pty) Limited,
106,106,Hansa Print (Pty) Limited,
743,743,HARTEBEESKRAAL,
