Old_ID,New_ID,_long_description,provider_id
541,541,Boston City Campus & Business College- Cape Town - 3rd Floor Matador Centre 62 Strand Street Cape Town  8001,309
542,542,Boston City Campus and Business College - Bellville - 1st floor Regkaam Building Kort Street Bellville 7530,814
543,543,Boston City Campus and Business College - George - 1st Floor Market Mall 84 Market Street George 6529,196
544,544,"Boston School of Finance - George - 1st Floor Market Mall, 84 Market Street, George, Western Cape, South Africa",588
545,545,"Boston School of Finance - Somerset West - Ground Floor Twin Oaks Centre, 142 Main Road, Somerset West",387
546,546,"Boston School of Finance Bellville - 1st Floor Regkam Building Kort Street (Cnr Voortrekker Road), Bellville, Western Cape, South Africa",783
547,547,"BOTHA ALC - BOTHA PRIMARY, WYSERSDRIFT, RAWSONVILLE",726
548,548,"BOTRIVIER COMMUNITY LEARNING CENTRE - BOTRIVIER PRIM, PARK STREET, BOTRIVIER",200
549,549,"BRANDVLEI CORRECTIONAL SERVICES - BRANDVLEI PRISON, RAWSONVILLE ROAD, WORCESTER",52
551,551,"BRANDWAG - BRANDWAG, MOSSELBAAI, MOSSELBAAI",789
553,553,"BREÃ«RIVIER WYNLAND CLC - PADDY STREET, ROBERTSON, ROBERTSON",680
552,552,"BREDASDORP - RECREATION STREET, BREDASDORP, BREDASDORP",458
120,120,"BREEDE VALLEI BAKWERKE (Worcester) - 22 Field Street, Industria, WORCESTER, 6850",558
555,555,"BRIDGETOWN ALC - BRUSHWOOD ROAD, BRIDGETOWN, CAPE TOWN",409
556,556,Bright Idea Projects 2082 CC - 234 Tonyn Street White City Saldanha Western Cape 7395,729
557,557,British American Tobacco South Africa Pty Ltd - British American Tobacco South Africa Pty Ltd 25 Du Toit Street Stellenbosch Stellenbosch Urban 8000,330
559,559,Bromor Foods (Pty) Ltd - 5 Morningside Rd   Ndabeni,259
560,560,"BROODKRAAL - PA BROODKRAAL, PIKETBERG, PIKETBERG",703
561,561,BSC  CONSULTANTS - 8 WATTLE ROAD TYGERBERG,313
562,562,"BSI College (Pty) Ltd - 5th Floor, The Strand
37 Strand Street
Cape Town
Western Cape, 8000",35
563,563,"BUCCANEER GUNS CC CAPE TOWN - 65 Waterkant Street Cape Town City Centre, Cape Town, 8001â€Ž",802
564,564,"BUFFELJAGSRIVIER CORRECTIONAL SERVICES - SOMERSET STREET, SWELLENDAM, SWELENDAM",390
565,565,"BUILD ADULT LEARNING CO-OPERATIVE (BALC - SHIPMAN ROAD, DIEPRIVIER, DIEPRIVIER",124
127,127,"BURGER PETROL AND DIESEL (WORCESTER) - 119 Sheard Street, Worcester",384
567,567,"Business Development Centre of Excellence CC - Cape Town - 5 Mountain View Crescent, Durbell, Durbanville, 7550",109
569,569,Buzz-word Training College - 19 Picton Road Parow Western Cape 7499,22
571,571,CAE College of Audio Engineering - 15 Hillrise Crescent Durbell Durbanville Cape Town Western Cape 7550,610
135,135,"CALEDON AUTO ELECTRICAL WORKS (Caledon) - New Cross Street, CALEDON, 7320",391
572,572,"CALITZDORP - OLD LIBRARY BUILDING, BERGSIG, CALITZDORP",108
144,144,"CAPE AUTO ELECTRIC (Maitland) - 15 Sydow Street, MAITLAND, 7405",192
575,575,"Cape Craft & Design Institute - 37 Barrack Street  East City,Cape Town",19
578,578,Cape Global Construction And Engineering Training Centre Pty Ltd - 0,751
579,579,"Cape Information Technology Initiative - 3rd Floor, Block B, Woodstock Exchange 66-68 Albert Road Woodstock Cape Town Western Cape 8000",540
580,580,Cape Institute for Agricultural Training: Elsenburg - Cape Institute for Agricultural Training: Elsenbu0rg Muldersvlei weg Elsenburg,591
151,151,"CAPE MANUFACTURING ENGINEERS (Epping) - 9 Benbow Ave, EPPING INDUSTRIA, 7460",187
581,581,"Cape Peninsula University of Technology - Symphony Way, Cape Town 7530",181
583,583,Cape Printing (Pty) Ltd - Cnr Neil Hare & Johan Heyns Streets,749
584,584,"Cape Town Baptist Seminary NPC - 52-62 Tarentaal Road, Bridgetown, Athlone, Cape Town, 7764",249
585,585,"CAPE TOWN COMMUNITY COLLEGE - STRAND STREET, 301(A) MATADOR CENTRE, CAPE TOWN",146
586,586,Cape Town Society for the Blind - 45 Salt River Road Salt River Cape Town Western Cape 7925,648
587,587,"CAPRICORN COMMUNITY LEARNING CENTRE - VRYGROND AVENUE, CAPRICORN PRIMARY, MUIZENBERG",110
588,588,"CAT College (Pty) Ltd - 47 - ON -Strans, Strand Street Cape Town",395
196,196,"CDR MOTORS (EDMS) BPK T/A CERES TOYOTA (Ceres) - 112 Voortrekker Street, CERES",45
589,589,Center for Creative Education - 4 Victoria Road Plumstead Cape Town 7800,483
204,204,"CENTRAL CAR REPAIRS (Observatory) - 423A Main Road, OBSERVATORY, 7925",442
591,591,"CENTRAL KAROO CLC - FIRST AVENUE, HILLSIDE, BEAUFORT WEST",538
593,593,"Centre for Creative Education/Iziko La Bantu Be Afrika NPC - McGregor House, 4 Victoria Road, Plumstead, 7801.",572
594,594,Centre for Early Childhood Development - 20 Rosmead Avenue Claremont 7708,189
595,595,"Centurion Kollege vir Beroepsonder-rig, Site name: Northlink  FET College -Parow Campus - PAROW VALLEY",777
596,596,"CHATSWORTH CLC - CHATSWORTH PRIMARY, CHATSWORTH, MALMESBURY",150
599,599,"Chippa Investment Holdings - 2 KINDROGGAN FL, Cape Town, Western Cape 7405",529
598,599,"CHIPPA INVESTMENT HOLDINGS CC - 2 KINDROGGAN FL, Cape Town, Western Cape 7405",526
600,600,"CITRUSDAL PRIMÃŠR CLC - ANEMONE STREET, CITRUSDAL, CITRUSDAL",229
601,601,City of Cape Town - Maitland Training Centre - Unit H; Maitland Business Park Voortrekker Road Maitland 8000,13
602,602,"CITY OF CAPE TOWN ALC - CNR NEW EISLEBEN/MILLER STREET,CROSS ROADS, NYANGA",645
603,603,"City Varsity t/a Film & Television & Multimedia School - Cape Town: 32 Kloof Street Gardens, Cape Town, 8001.",46
604,604,CITY VIEW BUSINESS COLLEGE AND COMPUTER STUDIES - 112 Long street 3rd floor Twinell House,803
607,607,Climal Creative Projects - 3 Saint Patrick Avenue  Seawinds,788
608,608,"CLOETESVILLE SECONDARY ALC - CURRY STREET, CLOETESVILLE, STELLENBOSCH",128
609,609,Clover SA (Pty) Ltd Parow - 9 PARIN ROAD Â Â  INDUSTRIA,581
610,610,COLLABORATIVE MINDS - 5 Kehrweider St Saxon Sea,436
615,624,College of Cape Town - 18 Breda Street Gardens Cape Town,312
613,613,"College of Cape Town - 334 Albert Rd, Salt River, Cape Town",312
612,620,College of Cape Town - Crawford Campus Kromboom Road Crawford undefined Western Cape 7780,312
616,621,College of Cape Town - Pinelands Campus - Pinelands Campus Jan Smuts Drive Pinelands 8000,776
611,625,COLLEGE OF CAPE TOWN - Thornton Campus Cnr Cedar & Poplar Roads Thornton CAPE TOWN 8000,228
617,623,College of Cape Town (City Campus) - ,728
228,623,COLLEGE OF CAPE TOWN (City Campus) (Non Merseta TP) - Cape Town City Centre,135
624,624,College of Cape Town FET College - Breda Street Gardens Cape Town 8001,43
626,626,College of Cape Town FET College - Broad Road Wynberg 7800,43
623,623,College of Cape Town FET College - Cnr Longmarket and Buitenkant Street Cape Town 8001,43
625,625,College of Cape Town FET College - Cnr of Poplar & Cedar Road Thornton 7460,43
627,627,College of Cape Town FET College - Cnr of Protea & Eland Street Athlone 7764,43
619,619,"College of Cape Town FET College - Cnr. NY1 & Ngambu Street Guguletu 7750false,false,1",43
621,621,College of Cape Town FET College - Jan Smuts Drive Pinelands 7405,43
620,620,College of Cape Town FET College - Kromboom Road Crawford 7780,43
628,627,"College of Cape Town: Athlone Campus - Cnr of Eland and Protea St, Athlone",414
629,621,"College of Cape Town: Pineland Campus - Jan Smuts Drive, Pinelands",773
630,625,"College of Cape Town: Thorton Campus - Cnr of Cedar and Poplar Rds, Thornton",131
631,631,College of Sustainable Agriculture - College of Sustainable Agriculture 83 Helderberg College Road The Vineyard Somerset West Cape Town Metro Urban 7129,721
632,632,Collotype Labels - P.O.Box 891,511
634,634,Colors Packhouse (Pty) Ltd - Colors Packhouse (Pty) Ltd Distillery Street Dal Josafat Paarl 7623,399
635,635,Colourtone Press - 382 Voortrekker Road,240
637,637,Community Media Trust - Main Road Muizenburg 7950,423
639,639,Community Water Supply & Sanitation Unit - Cape Peninsula University Symphony Way Bellville  7535,797
641,641,Competency International SA (Pty) Ltd- To Remove - 32 Stowe Cresent Silvertree Estate Tokai 7945,530
644,644,Concept Interactive (Cape) cc - 16 Main Road Rosebank Western Cape 7700,699
645,645,"CONDITION YELLOW SKILLS DEVELOPMENT AND FIREARMS TRAINING ACADEMY - 54 suikerbekkie east st  joostenbergvlakte,Kraaifontein",257
647,647,Consol Limited: Consumer Flexible Packaging - 10 Station Road,628
648,648,Continuing Education for Africa - 47 Bain Street Wellington 7655,363
649,649,"CONVILLE - CONVILLE PRIM, PIENAAR STREET, GEORGE",266
650,650,"Cornerstone Institute (RF) NPC - 127 Cecil Road, Salt River, 7925.",719
651,651,"Cornway Training & Placement Center - Bellville - 64 Bree Street
Bree Castle House Unit 20 4
2nd Floor
Cape Town 8000",222
655,655,Creda Communications (W.C) - Eliot Avenue,463
657,657,"Credit Blende Training (Pty) Ltd - Foreshore, Cape Town",92
658,658,CROSS SKILLS DEVELOPMENT - 16 Dwyka Street Stikland,790
659,659,CTP Limited - Cnr Caxton & Duminy Street,204
661,661,CTP Printers - Cape Town - CTP Book Printers,325
664,664,Culhane Consulting - 19 Keurboom Crescent Plattekloof  7500,205
665,665,"CWESI CLC - C/O WBHS, LOVERS WALK, WYNBERG",709
666,666,Cyber Minds (PTY) Limited - 157 1st Avenue Parow Cape Town Western Cape 7500,311
301,301,"D C ENGINEERING (TULBAGH) - Straat kerk, Tulbagh",786
667,667,DAIRYBELLE (PTY) LTD - CAPE TOWN - 2 Cochrane Avenue Eppindust,476
668,668,"DAL JOSAFAT ALC - GROENHEUWEL PRIMARY, SYMPHONY AVENUE, GROENHEUWEL",424
669,669,"DAMBA ALC - SILUMKO STREET, KHAYELTISHA, KHAYELITSHA",344
670,670,Damelin - Mowbray - 12 Liesbeek Parkway Mowbray,314
671,670,"Damelin (Pty) Ltd - 12 Liesbeeck  Parkway, Mowbray, Cape Town, 8000.",649
